"DO NOT EDIT",,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",
"//Field error codes",,
1001,"Required field not found.","O campo necessário não foi encontrado."
1002,"Required field empty.","O campo necessário encontra-se vazio."
1003,"The :attribute is required.","O :attribute é necessário."
1004,"The :attribute is invalid.","O :attribute é inválido."
1005,"Points to :attribute must be a number.","Pontos para :attribute devem ser um número."
1006,"The :attribute text is required.","O texto do :attribute é necessário."
1007,"The :attribute already exists.","O :attribute já existe."
1008,"The :attribute format is invalid.","O formato do :attribute é inválido."
1009,"The :attribute may not be greater than 10 characters.","O :attribute não pode exceder 10 caracteres."
1010,"The :attribute format is incorrect.","O formato do :attribute está incorreto."
1011,"The :attribute should not exceed 20 digits.","O :attribute não deve exceder 20 dígitos."
1012,"The :attribute name is required.","O :nome do atributo é necessário."
1013,"The :attribute must be a number","O :attribute deve ser um número"
1014,"The :attribute does not exist.","O :attribute não existe."
1015,"Total :attribute is required","O total de :attribute é necessário"
1016,"Total :attribute must be a number","O total de :attribute deve ser um número"
"//Rules messages",,
2001,"User does not exist.","O utilizador não existe."
2002,"Email does not exist.","O e-mail não existe."
2003,"Account does not exist.","A conta não existe."
"//for student error message",,
2004,"Username and picture password is incorrect.","A senha de utilizador e foto está incorreta."
2005,"Country does not exist.","O país não existe."
2006,"Confirmation code does not match.","O código de confirmação não coincide."
2007,"Confirmation code has expired.","O código de confirmação expirou."
2008,"The Username or Email you entered is invalid. Please try inputting again. If the account you are attempting to login is for a student less than 14 yrs old, please login via the parent site.","O nome de utilizador ou e-mail inserido é inválido. Por favor, tente introduzir novamente. Se a conta que está tentando aceder é para um aluno com menos de 14 anos de idade, por favor aceder através do site dos pais."
2009,"Avatar does not exist.","O Avatar não existe."
2010,"Parent does not exist.","O Pai não existe."
2011,"Username and password is incorrect.","A senha da foto está incorreta."
2012,"Picture password is incorrect.","A senha da foto está errada."
2013,"Username or Email is invalid.","O Nome de Utilizador ou e-mail é inválido."
2014,"Your Account has been locked. Please go to the forgot password screen to reset your password.","A sua conta foi bloqueada. Por favor, vá até ao menu esqueceu a sua senha para redefinir a sua senha."
2015,"Confirmation code is required.","O código de confirmação é necessário."
2016,"Confirmation code should be number only.","O código de confirmação deve ser apenas números."
2017,"Picture Password is required.","A senha da foto é necessária."
2018,"Username does not exist.","O utilizador não existe."
2019,"Username or Email is invalid or your account has been locked. Please click forgot password to reset your password.","O nome de utilizador ou e-mail é inválido ou a sua conta foi bloqueada. Por favor, vá até ao menu esqueceu a sua senha para redefinir a sua senha."
2020,"Account is deleted.","A conta é apagada."
2021,"Username is invalid.","Nome de utilizador inválido."
2022,"The school level field is required.","O campo nível da escola é necessário."
2023,"The school level field should be number only.","O campo nível da escola deve ser apenas números."
2024,"Confirmation code is invalid.","O código de confirmação é inválido."
2025,"Reset code is required.","O código de reposição é necessário."
2026,"Reset code should be number only.","O código de reposição deve ser apenas números."
2027,"Reset code is invalid.","O código de reposição  é inválido."
2028,"The Student has to be 14 years old or above to be able to register.","O aluno tem de ter 14 anos ou acima para ser capaz de se registar."
2029,"Access authentication failure.","Falha de autenticação no acesso."
2030,"Access authorization is required.","A autorização de acesso é necessária."
2031,"Access authorization is invalid.","A autorização de acesso é inválida."
2032,"Unauthorized access.","Acesso não autorizado."
2033,"Username/Email or password is invalid","Nome de Utilizador / E-mail ou senha é inválido"
2034,"Username/Email or password is invalid. Have you verified your email? Please check your inbox. Your account may have been locked, please click on forgot password to reset your password.","Nome de Utilizador / E-mail ou senha é inválido. Verificou o seu e-mail? Por favor, verifique a sua caixa de entrada. A sua conta pode ter sido bloqueada, por favor clique em esqueceu a sua senha para redefinir sua senha."
2035,"Account has been locked. Please click on forgot password to reset your password.","Conta foi bloqueada. Por favor clique em esqueceu a sua senha para redefinir a sua senha."
2036,"Client has active transaction.","O Cliente tem transação ativa."
2037,"Student has an existing subscription.","Aluno tem uma subscrição existente."
2038,"No student added.","Nenhum estudante adicionado."
2039,"Student is not associated to the parent.","O aluno não está associado ao pai."
2040,"Student already exist.","Estudante já existente."
2042,"Student has already rated this help request answer.","O aluno já classificou esta resposta ao pedido de ajuda."
2043,"Student cannot rate his/her own help request answer.","O aluno não pode avaliar a sua própria resposta ao pedido de ajuda."
2044,"The Postal Code format is invalid.","O formato de código postal é inválido."
2045,"The Postal Code may not be greater than 10 characters.","O Código Postal não pode exceder 10 caracteres."
2046,"The contact number should not exceed 20 digits.","O número de contato não deve exceder 20 dígitos."
2049,"Account has already been registered.","A conta já foi registada."
2050,"Student has an active subscription.","O aluno tem uma assinatura ativa."
2051,"Class has already ended.","A classe já terminou."
2052,"No Image","Sem imagem"
2053,"File Location is invalid.","A  Localização do Ficheiro é inválida."
2054,"File deleted.","Ficheiro eliminado."
2055,"Practice Exercise has already been Completed.","O exercício prático já foi concluído."
2056,"You need to review the teaching content.","Necessita de rever o conteúdo do ensino."
2057,"Unable to Delete record.","Não é possível apagar registo."
2058,"Module is incomplete. Please contact administrator.","O módulo está incompleta. Por favor contate administrador."
2059,"File does not exist.","O ficheiro não existe."
2060,"Student is currently login on another device.","O aluno está atualmente ligado noutro dispositivo."
2061,"Client is currently login on another device.","O cliente está atualmente ligado noutro dispositivo."
2062,"Admin is currently login on another device.","O admin está actualmente ligado noutro dispositivo."
2063,"User is currently login on another device.","O utilizador está atualmente ligado noutro dispositivo."
2063,"Invalid export file format","Formato de ficheiro de exportação inválido"
2064,"File does not exist.","O ficheiro  não existe."
2065,"You already have this accessory","Já tem este acessório"
2066,"No Accessories available","Sem acessórios disponíveis"
2067,"This accessory is not available for your avatar","Este acessório não está disponível para o seu avatar"
2068,"You do not have enough points to buy this accessory","Não tem pontos suficientes para comprar este acessório"
2069,"Invalid graph answer.","Resposta gráfica inválida."
2070,"Module is not available","O módulo não está disponível"
2100,"Reset code is invalid.","O código de reposição é inválido."
2101,"Password image is invalid.","A senha da foto é inválida."
2102,"Access token expired.","Token de acesso expirado."
2103,"Confirmation code is invalid.","O código de confirmação é inválido."
2104,"Username already exists.","O nome de utilizador já existe."
2105,"School does not exist.","A escola não existe."
2106,"Email does not match.","O e-mail não corresponde."
2107,"Your current email and new email are the same.","O seu e-mail atual e o novo e-mail são os mesmos."
2108,"New Email does not exist.","O novo e-mail não existe."
2109,"Your account has already been confirmed.","A sua conta já foi confirmada."
2110,"You have already setup the forgot password steps.","Já configurou os passos de senha esquecida."
2111,"You have already setup the email confirmation steps.","Já configurou as etapas de confirmação de e-mail."
2112,"Password must be at least 8 characters and with at least 1 number.","A senha deve ter pelo menos 8 caracteres e pelo menos um número."
2113,"Username and password is invalid.","Utilizador e senha inválidos."
2114,"Your password is incorrect.","A sua senha está incorreta."
2115,"Contact number format is incorrect.","O formato do número de contato é incorreto."
2116,"School name is not available.","O nome da escola não está disponível."
2117,"The Student has to be 14 years old or above.","O aluno tem de ter 14 anos ou acima."
2118,"Your account is being reviewed or contact administrator for assistance.","A sua conta está a ser revista ou contate o administrador para assistência."
2119,"This record is being used.","Este registo está a ser utilizado."
2120,"This record is invalid.","Este registo é inválido."
2121,"Unable to Delete. Principal is associated to a school.","Não é possível apagar. O Diretor está associado a uma escola."
2122,"Unable to Delete. Teacher is associate to a class.","Não é possível apagar. O Professor está associado a uma classe."
2123,"Unable to Delete. Parent is associated to a student.","Não é possível apagar. O Pai está associado a um aluno."
2124,"Student does not exist.","O aluno não existe."
2125,"Student is already in a class.","O aluno já está numa classe."
2126,"Unable to Delete. Student is associated to a Parent.","Não é possível apagar. O aluno está associado a um pai."
2127,"Unable to Delete. Student has Points.","Não é possível apagar. O Aluno tem Pontos."
2128,"Unable to Delete. Student has Badge.","Não é possível apagar. O Aluno tem divisa."
2129,"Unable to Delete. Student has Class.","Não é possível apagar. O Aluno tem uma classe."
2130,"Parent does not have Student.","O Pai não tem Aluno"
2131,"Student is already added.","O Aluno já está adicionado."
2132,"Invitation code is invalid.","O código de convite é inválido."
2133,"Registration token is invalid.","O Token de registo é inválido."
2134,"Can't change School: Student has active Subscription.","Não é possível alterar a Escola: o Aluno tem subscrição ativa."
2135,"The class is already full.","A classe já está cheia."
2136,"Unable to Delete.Tip has rating.","Incapaz de apagar. A Dica tem classificação."
2137,"Unable to delete. Help request has answers.","Não foi possível apagar. O Pedido de ajuda tem respostas."
2138,"Password image is required.","Senha de foto é necessária."
2139,"Points to unlock must be lesser than Points to finish.","Os pontos para desbloquear devem ser menos do que os pontos para terminar."
2140,"Unable to Delete. Module has contents.","Não é possível apagar. O módulo tem conteúdo."
2141,"Unable to Delete. Module has questions.","Não é possível apagar. O módulo tem perguntas."
2142,"The image must be a file of type: jpeg, jpg, png.","A foto deve ser um ficheiro do tipo: jpeg, jpg, png."
2143,"The image size had exceeded 2MB.","O tamanho da foto excedeu 2MB."
2144,"Module does not exist","O módulo não existe"
2145,"Student needs to watch the videos again.","O aluno necessita de assistir aos vídeos novamente."
2146,"Prevent having dot for an image file name.","Evitar ter ponto num nome de ficheiro de foto."
2147,"Unable to Delete. Subscription already expired.","Não é possível apagar. Subscrição já expirou."
2148,"Unable to generate report.","Não foi possível gerar relatório."
2149,"The file must be a file of type: csv.","O ficheiro deve ser o tipo: csv."
2150,"This tip has an existing rating.","Esta dica tem uma classificação existente."
2151,"This help answer has an existing rating.","Esta resposta de ajuda tem uma classificação existente."
2152,"The new email and the current email are the same.","O novo e-mail e o e-mail atual são os mesmos."
2153,"Grade","Grau"
2154,"Country","País"
2155,"Subject","Assunto"
2156,"Area","Área"
2157,"School","Escola"
2158,"unlock","desbloquear"
2159,"finish","terminar"
2160,"module","módulo"
2161,"Module","Módulo"
2162,"Question","Questão"
2163,"Code","Código"
2164,"Points Equivalent","pontos equivalentes"
2165,"answer text","texto de resposta"
2166,"image","imagem"
2167,"empty","vazio"
2168,"Difficulty","Dificuldade"
2169,"Points earned","Pontos ganhos"
2170,"Sequence number","Sequência numérica"
2171,"Answer","Resposta"
2172,"Description","Descrição"
2173,"Question order","Ordem das perguntas"
2174,"Student ID","Identidade Aluno"
2175,"Teacher","Professor"
2176,"Client","Cliente"
2177,"Number of seats","Número de lugares"
2178,"Seats taken","Lugares tomados"
2179,"Class name","Nome da classe"
2180,"Class name should be a minimum of 2 characters.","O nome da classe deve ter um mínimo de 2 caracteres."
2181,"Class name may not be greater than 128 characters.","O nome da classe não pode ser maior do que 128 caracteres."
2182,"Class","Classe"
2183,"Date range should be today or after the student was added.","O intervalo de datas deve ser hoje ou depois que foi adicionado o aluno"
2184,"Client Name","Nome do cliente"
2185,"Name","Nome"
2186,"Selected country","País selecionado"
2187,"Postal Code","Código postal"
2188,"Contact number","Número de contato"
2189,"Password image","Senha de foto"
2190,"Grade Code","Código de Turma"
2191,"Group","Grupo"
2192,"Student","Aluno"
2193,"Help request","Pedido de ajuda"
2194,"Rating","Classificação"
2195,"User","Utilizador"
2196,"Subject Area","Área da matéria"
2197,"Link","Ligação"
2198,"Invoice","Fatura"
2199,"Subscription","Inscrição"
2200,"Email already exists.","E-mail já existe."
2201,"Username already exists.","Nome de utilizador já existe."
2202,"School Name already exists.","Nome da escola já existe."
2203,"Discount","Desconto"
2204,"Test","Teste"
2205,"Section","Secção"
2206,"Selected Answer","Resposta selecionada"
2207,"Age","Idade"
2208,"Parent","Pai"
2209,"Order","Ordem"
2210,"Badge name","Nome da Divisa"
2211,"Content","Conteúdo"
2212,"Event","Evento"
2213,"Points","Pontos"
2214,"Tip","Dica"
2215,"Area Code","Código de área"
2216,"Subject Code","Código de Assunto"
2217,"Learning Style","Estilo de aprendizagem"
2218,"Media","Media"
2219,"Image","Imagem"
2220,"Content URL","URL de conteúdo"
2221,"Teaching Module","Módulo de ensino"
2222,"Minimum Seats already exists.","Lugares mínimos já existem."
"//  Parent Client Error Messages",,
"Error::BILLING_INFO_MISSING ","You need to update your contact information in order to proceed buy a subscription.","Necessita de atualizar suas informações de contato, a fim de proceder e comprar uma assinatura."
"//account status messages",,
2230,"Account is inactive.","Conta está inativa."
2231,"Account Locked","Conta bloqueada"
2232,"Account Deleted","Conta eliminada"
"// login error messages",,
2233,"Password is invalid.","A senha é inválida."
2234,"Unauthorized Registration","Registo não autorizado"
"//Announcement messages.",,
2500,"Date range should be between today and future dates.","O intervalo de datas deve ser entre hoje e datas futuras."
2600,"Cannot delete subject. Subject has subject areas.","Não é possível eliminar assunto. O assunto tem áreas associadas."
2601,"Cannot delete admin.","Não é possível apagar o administrador."
2602,"The school is invalid.","A escola é inválida."
"// Custom country messages.",,
2603,"The country field is required.","O campo do país é necessário."
2604,"The country is invalid","O país é inválido"
7000,"Hmm, something went wrong. Please contact the system administrator.","Hmm, algo deu errado. Por favor contate o administrador do sistema."
"//  For subscription request error messages",,
"Error::SUBSCRIPTION_MUST_BE_A_NUMBER ","The :attribute must be a number","O :attribute deve ser um número"
"Error::SUBSCRIPTION_NAME_REQUIRED ","The subscription name field is required","O campo de nome de assinatura é necessário"
"Error::SUBSCRIPTION_NAME_INVALID ","The subscription name format is invalid","O formato do nome de subscrição é inválido"
"Error::SUBSCRIPTION_LSP_REQUIRED ","The learning style is required","O estilo de aprendizagem é necessário"
"Error::SUBSCRIPTION_LSP_INVALID ","The learning style format is invalid","O formato de estilo de aprendizagem é inválido"
"//  For trial module error messages",,
"Error::TRIAL_MODULE_MULTIPLE_ANSWERS_REQUIRED ","Answers are required","Respostas são necessárias"
"Error::TRIAL_MODULE_QUAD_PLOTTING_REQUIRED ","Plot a point to answer","Coloque um ponto para responder"
"Error::TRIAL_MODULE_DRAG_DROP_REQUIRED ","Drag at least one object to answer","Arraste pelo menos um objeto para responder"
,,
"Module Names",,
,"Abbreviations","Abreviaturas"
,"Action Verbs","Verbos de ação"
,"Add And Subtract Decimals","Somar e subtrair decimais"
,"Add And Subtract Fractions With Like Denominators","Somar e subtrair frações com denominadores Como"
,"Add And Subtract Integrers","Somar e subtrair inteiros"
,"Addition","Adição"
,"Addition And Subtraction","Adição e subtração"
,"Addition large numbers","Adição de grandes números"
,"Addition- Skill Builders","Blocos Adicionar-Habilidade"
,"Addition Three Digit","Adição com Três Dígitos"
,"Addition Two Digit","Adição com Dois Dígitos"
,"Addition, One Digit","Adição, Um Dígito"
,"Adjectives","Adjetivos"
,"Adjectives And Adverbs","Adjetivos e advérbios"
,"Adjectives Phrases","Frases e adjetivos"
,"Adjectives That Compare","Adjetivos que comparam"
,"Adverbs","Advérbios"
,"Adverbs That Compare","Advérbios que comparam"
,"Adverbs-Phrases","Frases-Advérbios"
,"Algebra","Álgebra"
,"Alphabetical Order","Ordem alfabética"
,"Analogies","Analogias"
,"Antonyms","Antónimos"
,"Apostrophes","Apostrofes"
,"Appositive","Apostos"
,"Articles","Artigos"
,"Basic Verbs","Verbos básicos"
,"Capitalization","Capitalização"
,"Classification","Classificação"
,"Colons","Dois pontos"
,"Combining Sentences","Combinando frases"
,"Combining Sentences, Subjects","Combinando frases, sujeitos"
,"Commas","Vírgulas"
,"Common And Proper Nouns","Os substantivos comuns e adequados"
,"Comparative And Superlative","Comparativo e superlativo"
,"Comparative And Superlative Adjectives","Adjetivos comparativos e superlativos"
,"Comparative And Superlative Adverbs","Advérbios comparativos e superlativo"
,"Compare Fractions","Comparar Frações"
,"Comparing","Comparando"
,"Comparing And Ordering","Comparando e ordenando"
,"Compound Words","Palavras compostas"
,"Conjuctions","Conjunções"
,"Consumer Math","Consumidor matemático"
,"Contractions","Contrações"
,"Coordinate Graphs","Coordenar Gráficos"
,"Coordinating Conjuctions","Coordenação de Conjunções"
,"Cordinate Graphs","Coordenar Gráficos"
,"Correlative Conjunctions","Conjunções correlativas"
,"Counting","Contando"
,"Counting And Patterns","Contas e padrões"
,"Dashes","Traços"
,"Data Ad Graphs","Dados e Gráficos"
,"Data And Graphs","Dados e gráficos"
,"Decimals","Decimais"
,"Describing Words","Descrevendo palavras"
,"Dictionary Skills","Dicionário de Capacidades"
,"Direct/Indirect Objects","Objetos Directos / Indiretos"
,"Divide Fractions","Dividir Frações "
,"Division","Divisão"
,"Division With Decimals","Divisão com decimais"
,"Double Negatives","Negativas duplas"
,"Equations And Variables","Equações e variáveis"
,"Equivalent Fractions","Frações equivalentes"
,"Estimation","Estimativa"
,"Estimation And Rounding","Estimativa e arredondamento"
,"Exclamatory Sentences In Response To Prompts","Frases exclamativas em resposta a avisos"
,"Exponents","Expoentes"
,"Exponents And Square Roots","Expoentes e raízes quadradas"
,"Figures Of Speech","Figuras de linguagem"
,"Formal And Informal Language","Linguagem formal e informal"
,"Fraction Equivalence And Ordering","Equivalência de Frações e Ordenação"
,"Fractions","Fracções"
,"Fractions And Mixed Numbers","Frações e números mistos"
,"Frequently Confused Words","Palavras frequentemente confundidas"
,"Functions","Funções"
,"Future Tense","Futuro"
,"Geometry","Geometria"
,"Greek And Latin Roots","Raízes do grego e do latim"
,"Helping Verbs","Verbos de ajuda"
,"Homophones","Homófonas"
,"Idioms And Adages","Expressões idiomáticas e Adágios"
,"Inappropriate Pronoun Shifts","Mudanças inadequadas de Pronome"
,"Inappropriate Shifts In Verb Tense","Mudanças inapropriadas no tempo verbal"
,"Indefinite Pronouns","Pronomes indefinidos"
,"Integers","Inteiros"
,"Irregular Past Tense","Passado Imperfeito"
,"Irregular Plural Nouns","Substantivos plurais irregulares"
,"Irregular Verbs","Verbos irregulares"
,"Letters","Cartas"
,"Logical Reasoning","Raciocínio lógico"
,"Measurement","Medição"
,"Measuremnt","Medição"
,"Methaphors","Metáforas"
,"Mixed Operations","Operações mistas"
,"Modal Auxiliaries","Auxiliares modais"
,"Money","Dinheiro"
,"Multiple Meaning Words","Palavras com significados múltiplos"
,"Multiplication","Multiplicação"
,"Multiplication (Intro)","Multiplicação (Intro)"
,"Multiply And Divide Divisions","Categorias de Multiplicar e Dividir"
,"Multiply Decimals","Decimais Múltiplos"
,"Multiply Fractions","Multiplicar frações"
,"Names Of Numbers","Nomes de números"
,"Nouns","Substantivos"
,"Number Sense","Sentido dos número s"
,"Number Theory","Teoria dos Números"
,"Numbers And Comparing","Números e comparação"
,"Operations With Fractions","Operações com frações"
,"Order Sentences","Frases de ordem"
,"Patterns","Padrões"
,"Patterns And Sequence","Padrões e sequência"
,"Patterns Sequencing","Sequência de Padrões"
,"Perfect Verb Tenses","Tempos Verbais Perfeitos"
,"Personal Pronouns","Pronomes pessoais"
,"Personifications","Personificações"
,"Place Values","Valores de lugar"
,"Place Values And Number Sense","Valores de lugar e Sentido Numérico"
,"Plural Nouns","Substantivos plurais"
,"Possessive Nouns","Substantivos possessivos"
,"Possessive Pronouns","Pronomes possessivos"
,"Prefixes","Prefixos"
,"Prefixes And Suffixes","Prefixos e sufixos"
,"Prepositions","Preposições"
,"Probability","Probabilidade"
,"Probability And Statistics","Probabilidade e Estatística"
,"Problem Solving","Resolução de problemas e Estimativa"
,"Problem Solving And Estimation","Resolução de problemas"
,"Progressive Verb Tenses","Tempos Verbais Progressivos"
,"Pronouns","Pronomes"
,"Pronouns And Antecedents","Pronomes e antecedentes"
,"Properties","Propriedades"
,"Punctuation","Pontuação"
,"Quotations And Dialogue","Citações e diálogo"
,"Rational Numbers","Números racionais"
,"Ratios , Portions And Percents","Rácios, Porções e Percentagens"
,"Reflexive And Intensive Pronouns","Pronomes reflexivos e intensivos"
,"Reflexive Pronouns","Pronomes reflexivos"
,"Regular Past Tense","Passado Simples"
,"Regular Plural Nouns","Substantivos plurais regulares"
,"Relative Pronouns","Pronomes relativos"
,"Relative Pronouns And Relative Adverbs","Pronomes relativos e advérbios relativos"
,"Restrictive And Nonrestrictive Elements","Elementos restritivos e não restritivos"
,"Rounding","Completando"
,"Sentence Types","Tipos de frases"
,"Sentences, Fragments, And Run-Ons","Frases, fragmentos e conjugações"
,"Shading Of Meaning","Dissimulação de significado"
,"Similes","Símiles"
,"Similes And Metaphors","Comparações e metáforas"
,"Simple Complete Sentences","Frases completas simples"
,"Simple Predicates","Predicados simples"
,"Simple Verb Tense Review","Revisão Verbo Simples"
,"Simple, Compound, And Complex Sentences","Simples, compostos e frases complexas"
,"Single Nouns","Substantivos individuais"
,"Spatial Sense","Noção de Espaço"
,"Statistics","Estatística"
,"Subject And Object Pronouns","Pronomes de sujeito e objeto"
,"Subject And Predicate","Sujeito e predicado"
,"Subject Pronouns","Pronomes subjetivos"
,"Subject-Verb Agreement","Concordância verbal do sujeito"
,"Subordinating Conjunctions","Conjunções subordinadas"
,"Subtraction","Subtração"
,"Subtraction One Digit","A subtração com um dígito"
,"Subtraction Three Digit","A subtração com três dígitos"
,"Subtraction Two Digit","A subtração com dois dígitos"
,"Suffixes","Sufixos"
,"Synonyms","Sinónimos"
,"Thesarus Skills","Capacidades Thesarus"
,"Time","Tempo"
,"Titles","Títulos"
,"To Be And To Have","Ser e Ter"
,"Use of commas","Uso de vírgulas"
,"Vague Pronoun References","Referências vagas de pronomes"
,"Verb Phrases","Frases verbais"
,"Verb-Actions Or To Be","Ações verbais ações ou ser"
,"Verbs","Verbos"
,"Verbs Infinitive","Verbos Infinitivo"
,"Vocab Grade 1 A-C","Grau Vocab 1 A-C"
,"Vocab Grade 1 D-H","Grau Vocab 1 D-H"
,"Vocab Grade 1 I-L","Grau Vocab 1 I-L"
,"Vocab Grade 1 M-P","Grau Vocab 1 M-P"
,"Vocab Grade 1 Q-T","Grau Vocab 1 Q-T"
,"Vocab Grade 1 U-Z","Grau Vocab 1 U-Z"
,"Vocab Grade 2 A-C","Grau Vocab 2 A-C"
,"Vocab Grade 2 D-H","Grau Vocab 2 D-H"
,"Vocab Grade 2 I-L","Grau Vocab 2 I-L"
,"Vocab Grade 2 M-P","Grau Vocab 2 M-P"
,"Vocab Grade 2 Q-T","Grau Vocab 2 Q-T"
,"Vocab Grade 2 U-Z","Grau Vocab 2 U-Z"
,"Vocab Grade 3 A-C","Grau Vocab 3 A-C"
,"Vocab Grade 3 D-H","Grau Vocab 3 D-H"
,"Vocab Grade 3 I-L","Grau Vocab 3 I-L"
,"Vocab Grade 3 M-P","Grau Vocab 3 M-P"
,"Vocab Grade 3 Q-T","Grau Vocab 3 Q-T"
,"Vocab Grade 3 U-Z","Grau Vocab 3 U-Z"
,"Vocab Grade 4 A-C","Grau Vocab 4 A-C"
,"Vocab Grade 4 D-H","Grau Vocab 4 D-H"
,"Vocab Grade 4 I-L","Grau Vocab 4 I-L"
,"Vocab Grade 4 M-P","Grau Vocab 4 M-P"
,"Vocab Grade 4 Q-T","Grau Vocab 4 Q-T"
,"Vocab Grade 4 U-Z","Grau Vocab 4 U-Z"
,"Vocab Grade 5 A-C","Grau Vocab 5 A-C"
,"Vocab Grade 5 D-H","Grau Vocab 5 D-H"
,"Vocab Grade 5 I-L","Grau Vocab 5 I-L"
,"Vocab Grade 5 M-P","Grau Vocab 5 M-P"
,"Vocab Grade 5 Q-T","Grau Vocab 5 Q-T"
,"Vocab Grade 5 U-Z","Grau Vocab 5 U-Z"
,"Vocab Grade 6 A-C","Grau Vocab 6 A-C"
,"Vocab Grade 6 D-H","Grau Vocab 6 D-H"
,"Vocab Grade 6 I-L","Grau Vocab 6 I-L"
,"Vocab Grade 6 M-P","Grau Vocab 6 M-P"
,"Vocab Grade 6 Q-T","Grau Vocab 6 Q-T"
,"Vocab Grade 6 U-Z","Grau Vocab 6 U-Z"
,"Which, That ,Who Clause","Cláusula Qual, Que,  Quem"
,"Whole Numbers","Números inteiros"
,"Word Order","Ordem das palavras"
